Name,Description,DueDate,LengthInHours,Status
Sushi dinner downtown,"Sushi dinner at Saka. They added new omakase options.",2024-07-24,2,Complete
Research summer vacation options,"Look into Lake Tahoe or Pacific Coast Highway for next summer.",2024-07-28,1,Complete
Pay mortgage,"August mortgage payment.",2024-08-01,0.25,Complete
Finalize quarterly budget report,"Q2 budget report. Travel expenses were over budget due to the conference.",2024-08-05,3,Complete
Back to school supplies shopping,"School supply shopping for both kids. Third grade and first grade lists.",2024-08-10,2,Complete
1-on-1 with manager,"Check-in with Janet about the team lead role opening.",2024-08-13,1,Complete
Dog grooming appointment,"Max is overdue for a grooming. Book the full spa treatment.",2024-08-15,0.5,Complete
Coach Jake's basketball practice,"Jake's basketball practice. Working on shooting form this week.",2024-08-19,1.5,Complete
Dad's birthday dinner,"Dad's 64th birthday dinner at Rosario's. Surprise cake after dinner.",2024-08-22,2.5,Complete
Complete annual review self-assessment,"Self-assessment time again. Document the API platform project wins.",2024-08-26,2,Complete
Update LinkedIn profile,"Update LinkedIn with the new certifications and the team lead responsibilities.",2024-08-28,0.5,Complete
Buy pet food in bulk,"Big Chewy order for Max. Add some new dental chews to the cart.",2024-08-30,0.5,Complete
Replace furnace filter,"End of summer furnace filter swap. Buy two so we have a spare.",2024-09-03,0.5,Complete
Eye exam appointment,"Eye exam. The headaches are back, definitely need a new prescription.",2024-09-09,1,Complete
Schedule family photos,"Book the October family photo session. The park has great fall colors.",2024-09-12,0.5,Complete
Sign up for the Harvest 5K,"Harvest 5K registration. Aiming for under 25 minutes this year.",2024-09-15,0.25,Complete
Neighborhood block party,"Block party! We're on grill duty this year.",2024-09-21,4,Complete
Migrate database to new server,"Coordinate the production DB migration. Maintenance window is Saturday night.",2024-09-23,4,Complete
Update project roadmap,"Revise the roadmap for the investor meeting next month.",2024-09-26,2,Complete
Prepare quarterly OKRs,"Q4 OKRs. The big push is the platform launch in November.",2024-09-29,2,Complete
Pay credit card bill,"September statement. Back-to-school spending was controlled this year.",2024-09-30,0.25,Complete
Flu shot appointment,"Family flu shots. Jake is old enough to not cry this year hopefully.",2024-10-01,0.5,Complete
Winterize the garden,"Winterize the garden. The tomato plants produced well this year.",2024-10-05,3,Complete
Fall dentist cleaning,"Fall cleaning. Ask about Jake's loose tooth situation.",2024-10-08,1.5,Complete
Dermatology checkup,"Annual skin check with Dr. Lee. That mole on the shoulder hasn't changed.",2024-10-11,1,Complete
Halloween costume shopping,"Emma wants to be an astronaut. Jake is going as a Minecraft character.",2024-10-16,2,Complete
Oil change for the Honda,"Oil change at the dealership. Also need the recall item addressed.",2024-10-19,1,Complete
Wine tasting event at Cedar Creek,"Cedar Creek fall wine tasting. Going with the Hendersons this time.",2024-10-25,3,Complete
Attend neighborhood HOA meeting,"HOA meeting. Snow removal contract is on the agenda.",2024-10-28,1.5,Complete
Caulk around windows,"Recaulk the living room windows before it gets cold. Buy the clear sealant.",2024-10-30,1.5,Complete
Jake's birthday,"Jake turns 8! Laser tag party at FunZone.",2024-11-03,3,Complete
Leaf cleanup and yard waste bags,"Massive leaf cleanup. Three maples' worth of leaves.",2024-11-09,3,Complete
Order firewood for winter,"Order firewood from Brennan's. Two cords of seasoned oak.",2024-11-11,0.25,Complete
Clean gutters before winter,"Gutter cleaning. Use the new gutter scoop this year.",2024-11-14,3,Complete
Snow tire swap,"Snow tire appointment at Discount Tire. First snow is forecast next week.",2024-11-16,1.5,Complete
Team lunch outing,"Team lunch at Panera celebrating the platform launch. Company is buying.",2024-11-18,1.5,Complete
Submit grant proposal,"Research grant proposal final review and submission. Hard deadline Friday.",2024-11-20,6,Complete
Thanksgiving dinner prep,"Turkey brine and all the sides. The in-laws are coming this year too.",2024-11-27,6,Complete
Return Amazon packages,"Holiday season returns. Wrong sizes and duplicate orders.",2024-11-29,0.5,Complete
Pay electric bill,"November electric bill. First full month of heating.",2024-11-30,0.25,Complete
Pay mortgage,"December mortgage payment.",2024-12-01,0.25,Complete
Finalize quarterly budget report,"Q3 budget wrap-up. Under budget on most categories this quarter.",2024-12-03,3,Complete
Install new light fixtures in hallway,"Install the pendant lights in the hallway. The wiring is already there.",2024-12-06,2,Complete
Water heater inspection,"Water heater is 9 years old. Get it inspected and flush sediment.",2024-12-09,1,Complete
Contract renewal review,"Year-end vendor contract review. Three contracts expiring this month.",2024-12-11,2,Complete
Buy new winter coat,"Old coat zipper finally broke. Check REI and the North Face outlet.",2024-12-13,1.5,Complete
Help Jake with science fair project,"Jake's science fair project. He wants to test which paper airplane design flies farthest.",2024-12-15,3,Complete
IT security training,"Annual cybersecurity training completion. New social engineering module.",2024-12-16,1,Complete
Christmas shopping deadline,"Final Christmas shopping. Still need Mom's gift and stocking stuffers.",2024-12-19,4,Complete
Holiday card mailing,"Mail all 55 holiday cards. Added the new neighbors to the list.",2024-12-20,2,Complete
Plan holiday dinner menu,"Christmas dinner: beef tenderloin this year instead of prime rib.",2024-12-23,1,Complete
Deep clean the kitchen,"Pre-holiday deep clean of the kitchen. Oven is a mess.",2024-12-24,3,Complete
Year-end inventory count,"Annual inventory count. Hopefully faster this year with the new system.",2024-12-28,8,Complete
New Year's Eve plans,"New Year's at home this year. Fondue night and board games with the kids.",2024-12-31,2,Complete
Pay mortgage,"January mortgage. New year, same payment.",2025-01-01,0.25,Complete
Gather tax documents,"Start collecting 2024 tax documents. Set up the tax folder.",2025-01-06,3,Complete
Weekly team standup,"First standup of 2025. Big Q1 ahead with the platform expansion.",2025-01-06,0.5,Complete
Review investment portfolio,"Annual investment review. The market had a great year, time to rebalance.",2025-01-09,2,Complete
Update household budget,"2025 budget planning. Increase the savings category by 5%.",2025-01-12,1,Complete
Cancel unused subscriptions,"Subscription audit. Found three we forgot about. That's $45/month wasted.",2025-01-14,0.5,Complete
Gym membership renewal,"Renew the family gym membership. The kids' swim lessons are included.",2025-01-17,0.5,Complete
Backup computer files,"Full system backup. Also clean up the photo library duplicates.",2025-01-19,1,Complete
Schedule kids' dental cleanings,"Book the kids' cleanings for early February before the schedule fills up.",2025-01-21,0.25,Complete
Order birthday gift for Mom,"Mom's birthday is in March. Order the new garden tool set she mentioned.",2025-01-24,0.5,Complete
Sister's birthday,"Rachel's birthday dinner at her favorite Greek restaurant.",2025-01-28,1.5,Complete
Batch cook meals for the week,"Sunday meal prep. Making soup, grilled chicken, and pasta salad.",2025-01-26,3,Complete
Pay credit card bill,"January credit card bill. Holiday spending is done.",2025-01-31,0.25,Complete
Car registration renewal,"Vehicle registration renewal. Emissions test passed already.",2025-02-03,1,Complete
Valentine's Day reservation,"Valentine's dinner. Trying a new sushi omakase place this year.",2025-02-10,1,Complete
Pay electric bill,"February electric bill.",2025-02-12,0.25,Complete
Dinner with the Hendersons,"Saturday dinner at the Hendersons'. They got a new pizza oven.",2025-02-15,3,Complete
1-on-1 with manager,"Check-in with Janet. Discuss the team restructuring proposal.",2025-02-18,1,Complete
Oil change for the Honda,"Honda oil change. Also rotate the tires while it's in the shop.",2025-02-21,1,Complete
Coffee catch-up with Lisa,"Coffee with Lisa. She's thinking about changing jobs and wants to talk it through.",2025-02-24,1.5,Complete
Submit expense report,"February expense report. Just the team lunch and office supplies.",2025-02-27,1,Complete
Board meeting prep,"Q1 board meeting prep. The growth numbers look good this quarter.",2025-02-28,4,Complete
Spring cleaning weekend,"Spring cleaning. Attack the closets and the junk drawer situation.",2025-03-01,8,Complete
Book club meeting,"March book club. This month's pick is a memoir about hiking the PCT.",2025-03-05,2,Complete
Replace smoke detector batteries,"Smoke detectors chirping at 3am. Replace all batteries immediately.",2025-03-08,0.5,Complete
Attend PTA meeting,"PTA meeting about the end-of-year celebration plans.",2025-03-10,1.5,Complete
Mom's birthday,"Mom's birthday! Carrot cake from Delilah's and the garden tool set.",2025-03-14,2,Complete
Annual physical exam,"Annual physical with Dr. Morrison. Blood work results from last week looked fine.",2025-03-17,2,Complete
Haircut appointment,"Haircut at Tony's. Way overdue. Walk-in wait is terrible so keep the appointment.",2025-03-20,0.5,Complete
Pizza night with kids,"Friday pizza night. Emma wants to try making the dough from scratch.",2025-03-21,2,Complete
Baby shower for Sarah,"Sarah's second baby shower. It's a boy this time! Registry gift ordered.",2025-03-23,3,Complete
Fix leaky faucet in bathroom,"Bathroom faucet dripping again. This time replace the whole valve assembly.",2025-03-25,1,Complete
Grocery run for the week,"Big grocery run. Stocking up for the busy week ahead.",2025-03-28,1.5,Complete
Pay credit card bill,"March statement. Pretty standard month.",2025-03-31,0.25,Complete
Dentist cleaning,"Spring dental cleaning. Mention the tooth sensitivity that started last month.",2025-04-02,1.5,Complete
Easter brunch prep,"Easter brunch for the family. Trying a new honey-glazed ham recipe.",2025-04-14,3,Complete
Spring garden planting,"Garden day! Adding herbs this year: rosemary, thyme, and cilantro.",2025-04-16,4,Complete
File taxes,"File 2024 taxes. The new deduction from the home office should help.",2025-04-15,4,Complete
Allergy meds refill,"Allergy season is early this year. Stock up on everything.",2025-04-18,0.25,Complete
Client presentation prep,"Prepare the Meridian Corp annual review presentation.",2025-04-21,3,Complete
Client presentation to Meridian Corp,"Annual review presentation to Meridian. Showcase the platform improvements.",2025-04-23,1.5,Complete
Yoga class registration,"Spring yoga session. Upgrade to the unlimited class package.",2025-04-25,0.25,Complete
Kids' soccer game,"Emma's soccer game. She's playing goalie for the first time.",2025-04-26,2,Complete
Flea and tick treatment for Max,"Monthly flea treatment for Max. Starting early since it's a warm spring.",2025-04-28,0.25,Complete
Pay mortgage,"May mortgage payment.",2025-05-01,0.25,Complete
AC maintenance and filter change,"AC tune-up. The tech found a minor refrigerant leak last year, check on it.",2025-05-05,1,Complete
Emma's birthday party,"Emma turns 8! Arts and crafts party at the house.",2025-05-07,4,Complete
Call Mom for Mother's Day,"Mother's Day. The kids made a scrapbook this year.",2025-05-11,0.5,Complete
Vet appointment for Max,"Max's annual visit. He's 6 now so ask about senior dog diet.",2025-05-14,1.5,Complete
Get quotes for deck staining,"Get deck staining quotes. The wood is starting to gray.",2025-05-16,0.5,Complete
Date night at Olive Garden,"Date night. Use the Olive Garden gift card from Jake's teacher.",2025-05-23,2.5,Complete
Meal prep Sunday,"Meal prep for the week. Grilled chicken, rice bowls, and overnight oats.",2025-05-25,2,Complete
Pressure test sprinkler system,"Turn on sprinklers. Zone 5 head was cracked over winter.",2025-05-28,1.5,Complete
Pool opening and chemical balance,"Pool opening. New pump motor installed in the off-season.",2025-06-02,3,Complete
Kids camp registration,"Camp Pinewood summer registration. Both kids in the adventure track.",2025-06-04,0.5,Complete
Set up 529 college savings plan,"Finally setting up the 529. Researched the state tax benefits.",2025-06-06,2,Complete
Wedding anniversary dinner,"Tenth anniversary! Splurge on the tasting menu at Maison Laurent.",2025-06-12,3,Complete
Father's Day gift shopping,"Dad's gift: a nice bottle of bourbon and the wood-fired pizza cookbook he wants.",2025-06-15,1,Complete
File quarterly estimated taxes,"Q2 estimated taxes. Freelance income is consistent this year.",2025-06-16,1,Complete
Renew car insurance,"Car insurance renewal. Switched to Geico last year and it's been fine.",2025-06-18,1,Complete
Pay electric bill,"June electric bill. AC is running more than usual this summer.",2025-06-20,0.25,Complete
Game night at Dave's house,"Game night. Trying the new Dune board game Dave got.",2025-06-21,3,Complete
Tire rotation,"Tire rotation and inspection. Front right feels low.",2025-06-25,1,Complete
Weekly team standup,"Monday standup. Mid-year check on OKR progress.",2025-06-30,0.5,Complete
4th of July BBQ shopping,"BBQ supplies for the annual party. New grill accessories too.",2025-07-02,2,Complete
Book flights to Denver,"Book Denver flights for August. Prices are climbing so book now.",2025-07-07,1,Complete
Volunteer at food bank,"Food bank Saturday shift. Teaching Jake about community service.",2025-07-12,3,Complete
Deploy to staging environment,"Push the v4.0 RC to staging. Major release with the new UI.",2025-07-14,2,Complete
Sushi dinner downtown,"Sushi dinner with Mike and his wife. Double date at Saka.",2025-07-17,2,Complete
Best friend Mike's birthday dinner,"Mike's birthday dinner. He wants Korean BBQ this year.",2025-07-19,2,Complete
Write unit tests for auth module,"Write tests for the new OAuth2 flow. Need 95% coverage.",2025-07-23,3,Complete
Research new phone plans,"Phone plan review. Our contract is up, time to negotiate or switch.",2025-07-25,1,Complete
Reserve hotel for beach trip,"Book the Outer Banks house rental for the family beach week.",2025-07-28,0.5,Complete
Pack for camping weekend,"Pack for the Blue Ridge camping trip. New tent this year.",2025-07-31,1.5,Complete
Pay mortgage,"August mortgage payment.",2025-08-01,0.25,Complete
Finalize quarterly budget report,"Q2 budget report. On track across all categories.",2025-08-04,3,Complete
Back to school supplies shopping,"School supplies for fourth grade and second grade. Lists are on the fridge.",2025-08-11,2,Complete
Coach Jake's basketball practice,"Jake's basketball. Working on free throws this week.",2025-08-14,1.5,Complete
Dog grooming appointment,"Max grooming. He rolled in something questionable at the park.",2025-08-16,0.5,Complete
Order new running shoes,"New Brooks Ghost 16s. The old pair is well past 500 miles.",2025-08-18,0.5,Complete
Dad's birthday dinner,"Dad's 65th birthday! Big dinner at Rosario's with the whole family.",2025-08-22,2.5,Complete
Complete annual review self-assessment,"Self-assessment for annual review. Document the v4 platform launch success.",2025-08-25,2,Complete
Performance review meeting,"Annual review with Janet. Strong year, discuss the senior lead opportunity.",2025-08-27,1,Complete
Wash and detail the car,"Post-beach-trip car cleaning. Sand in every crevice.",2025-08-29,0.5,Complete
Pay credit card bill,"August statement. Vacation spending was budgeted for this time.",2025-08-31,0.25,Complete
Replace furnace filter,"Swap the furnace filter. Bought a two-pack last time so the spare is ready.",2025-09-01,0.5,Complete
Eye exam appointment,"Annual eye exam. The new glasses prescription is working well but double check.",2025-09-05,1,Complete
Sign up for the Harvest 5K,"Harvest 5K registration. Going for under 24 minutes this year.",2025-09-08,0.25,Complete
Schedule family photos,"Book the family photo session at the arboretum. Peak fall colors around Oct 15.",2025-09-12,0.5,Complete
Renew library card,"Library card expired last month. Bring ID and proof of address to renew.",2025-09-15,0.5,Pending
Neighborhood block party,"Block party. The new neighbors are hosting the dessert table.",2025-09-20,4,Complete
Deep clean the kitchen,"Kitchen deep clean. The oven is overdue for a serious scrubbing.",2025-09-22,3,Complete
Take kids to the science museum,"Science museum trip. They have a new space exploration exhibit.",2025-09-27,4,Complete
Prepare quarterly OKRs,"Q4 OKRs draft. Focus on the customer portal launch.",2025-09-29,2,Complete
Update project roadmap,"Revise product roadmap based on customer feedback from the beta.",2025-09-30,2,Complete
Flu shot appointment,"Family flu shots. The pharmacy has the updated formula.",2025-10-02,0.5,Complete
Winterize the garden,"Pull up the garden and winterize. Best harvest ever this year.",2025-10-04,3,Complete
Fall dentist cleaning,"Fall dental cleaning. The kids go right after school.",2025-10-07,1.5,Complete
Dermatology checkup,"Skin check with Dr. Lee. Everything looked stable last time.",2025-10-10,1,Complete
Halloween costume shopping,"Emma wants to be a vampire queen. Jake is going as a chef.",2025-10-13,2,Complete
Oil change for the Honda,"Oil change and multi-point inspection. Car has 85k miles now.",2025-10-16,1,Complete
Wine tasting event at Cedar Creek,"Fall wine tasting with the whole friend group. Dave is driving.",2025-10-18,3,Complete
Pick up prescription refills,"Blood pressure meds and the kids' vitamins. Ready at Walgreens.",2025-10-20,0.5,Complete
Recycle old electronics,"E-waste recycling run. Old router, phone cables, and Jake's broken tablet.",2025-10-23,1,Complete
Photo album project,"Finally organize and print the 2024 family photos for the album.",2025-10-25,3,Complete
Attend neighborhood HOA meeting,"HOA meeting. Holiday decorations policy and the fence repair proposal.",2025-10-27,1.5,Complete
Replace kitchen faucet,"New Moen faucet install. The old one is corroding.",2025-10-29,2,Complete
Pay electric bill,"October electric bill. Transition month so it's reasonable.",2025-10-31,0.25,Complete
Jake's birthday,"Jake turns 9! Bowling party at Lucky Strike Lanes.",2025-11-03,3,Complete
Leaf cleanup and yard waste bags,"Huge leaf pile this year. Three full days of raking honestly.",2025-11-08,3,Complete
Order firewood for winter,"Firewood order from Brennan's. Two cords of seasoned oak.",2025-11-10,0.25,Complete
Clean gutters before winter,"Gutter cleaning. Hire someone this year, it's too much with the extension.",2025-11-12,3,Complete
Snow tire swap,"Snow tire swap at Discount Tire. Storms coming next week.",2025-11-15,1.5,Complete
Call pest control about ants,"Ants found near the kitchen window again. Need professional treatment.",2025-11-17,0.25,Complete
New hire onboarding session,"Onboard the new senior developer. Walk through architecture and deployment.",2025-11-19,3,Complete
Sprint retrospective,"Sprint retro. Great sprint velocity but need to address tech debt.",2025-11-21,1,Complete
Thanksgiving dinner prep,"Thanksgiving prep for 14 people this year. Start brining Tuesday night.",2025-11-26,6,Complete
Pay mortgage,"December mortgage payment.",2025-12-01,0.25,Complete
Finalize quarterly budget report,"Q3 budget wrap-up. Came in under budget overall. Nice way to end the year.",2025-12-02,3,Complete
Donate old clothes to Goodwill,"Pre-holiday donation run. Kids have outgrown so many clothes.",2025-12-04,1,Complete
Contract renewal review,"Year-end vendor reviews. Negotiate better terms on the cloud hosting contract.",2025-12-06,2,Complete
Renew professional certification,"AWS certification renewal. Studied last week, take the exam online.",2025-12-08,1,Complete
Assemble kids' new bookshelf,"Build the new bookshelf for Jake's room. He got into chapter books.",2025-12-10,2,Complete
Install doorbell camera,"Upgrade the Ring doorbell to the newer model before package season.",2025-12-12,1,Complete
Power wash the driveway,"Rent a power washer and clean the driveway before the holiday guests arrive.",2025-12-13,2.5,Complete
IT security training,"Annual cybersecurity training. New module on AI-generated phishing.",2025-12-15,1,Complete
Buy new winter coat,"New winter coat for Jake. He's grown three inches since last winter.",2025-12-16,1.5,Complete
Christmas shopping deadline,"Final Christmas shopping. Wrap everything and hide it in the guest room closet.",2025-12-18,4,Complete
Holiday card mailing,"Mail the holiday cards. 60 this year, hand-write a note in each one.",2025-12-19,2,Complete
Finish reading for book club,"Need to finish the December book club pick before the Thursday meeting.",2025-12-22,2,Complete
Plan holiday dinner menu,"Christmas dinner: going with prime rib this year. Full menu and shopping list.",2025-12-23,1,Complete
Help Jake with science fair project,"Jake's science fair entry: testing which brand of battery lasts longest.",2025-12-26,3,Complete
Year-end inventory count,"Annual inventory. Using the new automated system should cut time in half.",2025-12-29,8,Complete
New Year's Eve plans,"Quiet New Year's at home. Fondue and a movie with the kids.",2025-12-31,2,Complete
Pay mortgage,"January mortgage. Same amount as last year thankfully.",2026-01-01,0.25,Complete
Gather tax documents,"Start collecting 2025 tax documents. The new freelance 1099s should arrive soon.",2026-01-05,3,Complete
Weekly team standup,"First standup of 2026. Set the Q1 priorities and review the product backlog.",2026-01-05,0.5,Complete
Review investment portfolio,"Investment review for 2025 performance. Consider the Roth conversion strategy.",2026-01-08,2,Complete
Update household budget,"2026 household budget. Increase the kids' activities category.",2026-01-12,1,Complete
Pay electric bill,"January electric bill. Heating costs are up a bit from the cold snap.",2026-01-14,0.25,Complete
Gym membership renewal,"Gym membership renewal. Family plan with the pool access is worth it.",2026-01-16,0.5,Complete
Cancel unused subscriptions,"Subscription audit. Found two streaming services we never use.",2026-01-18,0.5,Complete
Backup computer files,"Full backup to external drive and verify cloud sync is current.",2026-01-20,1,Complete
Schedule kids' dental cleanings,"Book February dental appointments for both kids.",2026-01-22,0.25,Complete
Pizza night with kids,"Friday pizza night. Jake wants to try making calzones.",2026-01-23,2,Complete
Sister's birthday,"Rachel's birthday. Got her concert tickets to her favorite band.",2026-01-28,1.5,Complete
Pay credit card bill,"January credit card. Post-holiday balances cleared.",2026-01-30,0.25,Complete
Car registration renewal,"Registration renewal. Need to do emissions test this week first.",2026-02-02,1,Complete
Submit expense report,"January expense report. Conference registration and the team dinner.",2026-02-03,1,Complete
1-on-1 with manager,"Check-in with Janet. Discuss Q1 milestones and the new team structure.",2026-02-04,1,Complete
Dinner with the Hendersons,"Saturday dinner at the Hendersons'. They're making homemade pasta.",2026-02-07,3,Complete
Valentine's Day reservation,"Valentine's dinner at the new tapas bar on Market Street.",2026-02-10,1,Complete
Grocery run for the week,"Weekly grocery trip. Super Bowl snacks and regular essentials.",2026-02-11,1.5,Complete
Stock up on pantry staples,"Big Costco run. Rice, pasta, olive oil, canned goods, and paper products.",2026-02-12,1.5,Complete
Pay electric bill,"February electric bill. Slightly less than January.",2026-02-13,0.25,Complete
Coffee catch-up with Lisa,"Coffee with Lisa at Blue Bottle. She started the new job and wants to vent.",2026-02-14,1.5,Complete
Board meeting prep,"Q1 board meeting prep. Update the growth dashboard and investor summary.",2026-02-16,4,In Progress
Weekly team standup,"Monday standup. Sprint planning for the customer portal features.",2026-02-16,0.5,In Progress
Pay mortgage,"February mortgage payment.",2026-02-16,0.25,In Progress
Spring cleaning weekend,"Deep clean the whole house. Start with the bathrooms and work outward.",2026-02-21,8,Pending
Oil change for the Honda,"Honda is at 90k miles. Oil change plus the 90k mile service.",2026-02-22,1,Pending
Dentist cleaning,"Spring dental cleaning. Both of us are due this month.",2026-02-23,1.5,Pending
Book club meeting,"February book club meeting. This month's pick is a science fiction novel.",2026-02-24,2,Pending
Annual physical exam,"Annual physical with Dr. Morrison. Schedule the fasting blood work for morning.",2026-02-26,2,Pending
Replace windshield wipers,"Winter took a toll on the wipers. Streaking badly in the rain.",2026-02-27,0.25,Pending
Mom's birthday,"Mom's birthday coming up. Ordered the new KitchenAid mixer she wanted.",2026-03-14,2,Pending
File taxes,"File 2025 taxes. All documents collected and ready for TurboTax.",2026-04-12,4,Pending
Spring garden planting,"Plan the garden layout. Adding a pollinator section this year.",2026-04-18,4,Pending
Batch cook meals for the week,"Sunday meal prep. Try the new sheet pan dinner recipes.",2026-02-22,3,Pending
Haircut appointment,"Haircut at Tony's. Been over a month.",2026-02-19,0.5,In Progress
Attend PTA meeting,"PTA meeting about the spring field day event planning.",2026-02-20,1.5,Pending
Update the home Wi-Fi password,"Wi-Fi password change overdue. Set up the guest network too.",2026-02-25,0.25,Pending
Renew homeowner's insurance,"Review homeowner's policy coverage. Replacement costs should be updated.",2026-03-01,1,Pending
Schedule meeting with financial advisor,"Annual meeting with Greg at Fidelity. Discuss the college fund progress.",2026-03-04,0.5,Pending
Review 401k contributions,"Check 401k contribution rate. Consider maxing out this year.",2026-03-06,0.5,Pending
Set up kids' bikes for spring,"Get the bikes ready for spring riding. Both kids need bigger bikes soon.",2026-03-08,1,Pending
Allergy meds refill,"Allergies will start soon. Refill everything before pollen hits.",2026-03-10,0.25,Pending
Paint bedroom accent wall,"Finally paint the accent wall. The navy paint has been in the garage for months.",2026-03-15,4,Pending
Organize garage,"Garage organization project. Install the wall-mounted tool rack system.",2026-03-12,6,Pending
Vet appointment for Max,"Max is due for his annual checkup and vaccinations.",2026-03-09,1.5,Pending
Dog grooming appointment,"Max needs grooming badly. He's looking like a mop.",2026-03-02,0.5,Pending
Easter brunch prep,"Easter brunch planning. Start the menu and shopping list.",2026-04-01,3,Pending
Q3 planning meeting,"Q2 planning session. Bring the customer portal metrics.",2026-03-20,2,Pending
Write API documentation,"Document the v5 API changes for the partner developer portal.",2026-03-15,4,In Progress
Renew passport,"Passport renewal. Expires in June and need it for the summer trip.",2026-03-01,1.5,Pending
Cousin Tyler's wedding RSVP,"RSVP for Tyler's wedding. Need to pick chicken or fish. Plus-one confirmed.",2022-03-02,0.25,Complete
Visit grandparents,"Drive up to visit Grandma and Grandpa for the weekend. Bring the photo album.",2022-03-12,5,Complete
Plan Rachel's surprise party,"Coordinate with Mike and Sarah. Book the private room at The Rustic Barrel.",2022-04-05,2,Complete
Meal prep Sunday,"Prep lunches for the work week. Turkey wraps and grain bowls.",2022-04-24,2,Complete
Pick up dry cleaning,"Grab the suits from Park Avenue Cleaners before they close at 6.",2022-05-02,0.5,Complete
Family reunion planning call,"Conference call with Aunt Patty and Uncle Jim to plan the summer reunion.",2022-05-12,1,Complete
Update the home Wi-Fi password,"Change the Wi-Fi password. Too many neighbors have the old one.",2022-05-20,0.25,Complete
Property tax payment,"Semi-annual property tax payment due. Check the county website for the amount.",2022-06-10,0.5,Complete
Dermatology checkup,"Annual skin check with Dr. Lee. Monitor the mole on the left shoulder.",2022-06-20,1,Complete
Marathon training run - 10 miles,"Long run along the river trail. Test the new energy gels.",2022-06-25,2,Complete
Schedule kids' dental cleanings,"Both kids are due for their six-month cleanings. Call Bright Smile.",2022-07-05,0.25,Complete
Buy pet food in bulk,"Big Chewy order for Max. Stock up on the grain-free formula.",2022-07-12,0.5,Complete
Renew homeowner's insurance,"Review the homeowner's policy. Check if coverage limits need updating.",2022-07-15,1,Complete
Coach Jake's basketball practice,"Run drills at the community center. Work on layups today.",2022-07-20,1.5,Complete
Pick up prescription refills,"Refill the blood pressure medication at Walgreens.",2022-07-27,0.5,Complete
Complete annual review self-assessment,"Fill out the self-assessment form. Focus on the Q2 project wins.",2022-08-15,2,Complete
Performance review meeting,"Annual review meeting with Janet. Discuss growth opportunities.",2022-08-18,1,Complete
Schedule meeting with financial advisor,"Book the annual review with Greg at Fidelity. Discuss 401k allocation.",2022-08-20,0.5,Complete
Review 401k contributions,"Check if on track to max out contributions for the year.",2022-09-05,0.5,Complete
Haircut appointment,"Overdue haircut at Tony's Barber Shop. Use the appointment this time.",2022-09-12,0.5,Complete
Return Amazon packages,"Return the wrong-size curtains and the duplicate coffee maker.",2022-09-15,0.5,Complete
Donate old clothes to Goodwill,"Sort through the hall closet. Donate everything that doesn't fit.",2022-09-20,1,Complete
Attend PTA meeting,"PTA meeting at school. Agenda includes the fall carnival planning.",2022-09-26,1.5,Complete
Kids' soccer game,"Jake's soccer game at Riverside Park. He's excited to play forward.",2022-10-01,2,Complete
Stock up on pantry staples,"Costco run for rice, pasta, canned tomatoes, and olive oil.",2022-10-08,1.5,Complete
Replace kitchen faucet,"The kitchen faucet is leaking at the base. Install the new Moen.",2022-10-12,2,Complete
Water heater inspection,"Water heater is 7 years old. Schedule the annual flush and inspection.",2022-10-20,1,Complete
Date night movie and dinner,"See the new movie at AMC and grab burgers after. Babysitter at 5pm.",2022-10-29,4,Complete
Flea and tick treatment for Max,"Monthly flea and tick application. Reorder the next three-month supply.",2022-11-01,0.25,Complete
Set up 529 college savings plan,"Research 529 plans for the kids. Compare the state tax benefit options.",2022-11-04,2,Complete
Install doorbell camera,"Install the new Ring doorbell. Need it before holiday package deliveries.",2022-11-09,1,Complete
Caulk around windows,"Caulk the windows in the den. Cold drafts coming through.",2022-11-18,1.5,Complete
Renew professional certification,"AWS certification renewal deadline approaching. Schedule the exam.",2022-11-20,1,Complete
Grocery run for the week,"Thanksgiving week grocery run. Get everything on the big list.",2022-11-21,1.5,Complete
File quarterly estimated taxes,"Q4 estimated tax payment due. Calculate based on year-to-date.",2022-12-15,1,Complete
Review 401k contributions,"Year-end check on 401k. Still room to contribute more before Dec 31.",2022-12-18,0.5,Complete
Batch cook meals for the week,"Holiday week meal prep. Simple meals since the fridge is full of leftovers.",2022-12-27,3,Complete
Stock up on pantry staples,"Post-holiday pantry restock. Ran through everything during the festivities.",2023-01-03,1.5,Complete
Pick up dry cleaning,"Grab the holiday party outfits from the cleaners.",2023-01-05,0.5,Complete
Pay electric bill,"January electric bill. Post-holiday energy usage was high.",2023-01-20,0.25,Complete
Visit grandparents,"Weekend visit to Grandma and Grandpa. Bring the Christmas photos.",2023-01-22,5,Complete
Pay mortgage,"February mortgage payment.",2023-02-01,0.25,Complete
Grocery run for the week,"Weekly grocery run. Trying a new meal plan this month.",2023-02-12,1.5,Complete
Backup computer files,"Monthly backup. Also check the cloud storage usage.",2023-02-16,1,Complete
Sprint retrospective,"End-of-sprint retro. Discuss the deployment issues from last Thursday.",2023-02-20,1,Complete
Property tax payment,"Semi-annual property tax due. Pay through the county website.",2023-03-01,0.5,Complete
Replace windshield wipers,"Wipers are shot after the ice storms. New Bosch Icons from AutoZone.",2023-03-10,0.25,Complete
Kids' soccer game,"Emma's second soccer game. She scored her first goal last week!",2023-03-18,2,Complete
